ver.list,fg.com,ml.com,wt.com,eig.com,fg.com.N,ml.com.N,wt.com.N,eig.com.N,time,max.event.size,min.event.size,mean.event.size,pati.n,pati.regular,pati.trad,pati.china,pati.labor,pati.gender,pati.envi,pati.land
台灣高等教育產業工會,4,3,3,1,57,57,27,54,1,37,4,23.667,3,2,3,0,3,0,0,0
台灣投資中國受害者協會,1,6,1,4,53,50,29,52,1,33,5,19,2,0,2,2,0,0,0,0
反迫遷連線,2,6,5,4,51,50,60,52,1,5,5,5,1,0,1,0,0,0,0,1
卡地布青年會,1,4,10,6,53,55,2,53,1,3,3,3,1,0,1,0,0,0,0,1
勞動黨,4,3,2,1,57,57,4,54,1,6,6,6,1,0,1,0,1,0,0,0
台南市產業總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣關懷中國人權聯盟,1,6,1,4,53,50,29,52,1,33,9,21,2,1,2,2,0,0,0,0
人權公約施行監督聯盟,2,4,5,6,51,55,60,53,1,69,5,37,2,1,2,0,0,0,1,1
台灣人權促進會,1,6,5,4,53,50,60,52,1,69,5,26.167,6,3,6,3,0,1,1,1
西藏婦女會台灣分會,1,6,11,4,53,50,3,52,1,5,5,5,1,1,1,1,0,0,0,0
工作傷害受害人協會,4,3,7,1,57,57,10,54,1,69,30,45.333,3,3,3,0,2,0,1,0
公民參與媒體改造聯盟,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
主婦聯盟生活消費合作社,2,4,5,6,51,55,60,53,1,69,13,41,2,1,2,0,0,0,1,0
全國教師工會總聯合會,4,3,7,1,57,57,10,54,1,69,4,36.667,3,2,3,0,2,0,1,0
台灣南社,1,6,1,4,53,50,29,52,1,33,5,14.333,3,0,3,3,0,0,0,0
環境法律人協會,1,4,5,6,53,55,60,53,1,69,3,31.333,3,1,3,1,0,0,1,1
苗栗後生會,4,3,2,1,57,57,4,54,1,6,6,6,1,0,1,0,1,0,0,0
主婦聯盟環境保護基金會,1,4,5,4,53,55,60,52,1,69,13,38.333,3,1,3,1,0,0,1,0
苗栗縣產業總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣女性學學會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣圖博之友會,1,6,5,4,53,50,60,52,1,69,5,29,4,3,4,3,0,0,1,0
中央大學性／別研究室,4,3,3,5,57,57,27,14,1,37,19,28,2,2,2,0,1,1,0,0
民間司法改革基金會,1,6,5,4,53,50,60,52,1,69,5,32.25,4,1,4,2,0,0,1,1
台灣農努聯盟,2,6,4,4,51,50,3,52,1,5,5,5,1,0,1,1,0,0,0,0
台灣國際勞工協會,4,3,7,1,57,57,10,54,1,69,6,35.5,4,3,4,0,3,0,1,0
新竹縣產業總工會,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
台灣青年反共救國團,1,6,1,4,53,50,29,52,1,22,5,12,3,1,3,3,0,0,0,0
中華進步利用協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台灣伴侶權益推動聯盟,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣自由圖博學生聯盟,1,6,1,4,53,50,29,52,1,22,5,12,3,2,3,3,0,0,0,0
公義生態社會聯盟,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
台北市文山社區大學,2,4,5,6,51,55,60,53,1,69,13,41,2,1,2,0,0,0,1,0
908台灣國總部,2,6,4,4,51,50,3,52,1,5,5,5,1,0,1,1,0,0,0,0
台灣電子電機資訊產業工會,4,3,6,1,57,57,18,54,1,30,6,18,2,1,2,0,2,0,0,0
台灣小留學生家長協進會,1,6,5,4,53,50,60,52,1,69,33,51,2,1,2,1,0,0,1,0
桃園縣產業總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣和平草根聯盟,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
反媒體巨獸青年聯盟,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
台灣青年反美牛聯盟,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
工人國際委員會,4,3,2,1,57,57,4,54,1,6,6,6,1,0,1,0,1,0,0,0
台灣北社,1,6,5,4,53,50,60,52,1,69,33,51,2,1,2,1,0,0,1,0
台北市產業總工會,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
國際特赦組織台灣分會,1,6,5,4,53,50,60,52,1,69,9,30.4,5,3,5,3,0,1,1,0
天主教嘉祿國際移民組織台灣分會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台灣性別人權協會,4,3,3,5,57,57,27,14,1,37,19,28,2,2,2,0,1,1,0,0
世新大學社會發展所,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
台灣環境保護聯盟,2,4,5,6,51,55,60,53,1,69,13,41,2,1,2,0,0,0,1,0
台灣母語聯盟,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
宜蘭縣產業總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
公共知識份子雜誌社,1,6,1,4,53,50,29,52,1,9,9,9,1,1,1,1,0,0,0,0
台灣性別平等教育協會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣少年權益與福利促進聯盟,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
全球綠人台灣之友會,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
台灣民間真相與和解促進會,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
中華電信工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台北律師公會環境法委員會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台灣紅絲帶基金會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣守護民主平台,1,6,1,4,53,50,29,52,1,33,22,27.5,2,0,2,2,0,0,0,0
社區大學全國促進會,1,4,5,6,53,55,60,53,1,69,13,34.667,3,1,3,1,0,0,1,0
台塑關係企業工會聯合會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣二十一世紀議程協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台灣關愛之家協會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣社會研究季刊社,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
看守台灣協會,1,4,5,4,53,55,60,52,1,69,13,38.333,3,1,3,1,0,0,1,0
全國自主勞工聯盟,4,3,7,1,57,57,10,54,1,69,30,45.333,3,3,3,0,2,0,1,0
同光同志長老教會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
動物保護行政監督委員會,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
台灣社,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
大高雄總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
同志父母愛心協會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣區倉儲運輸業工會聯合會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
台灣勞工陣線,1,6,1,4,53,50,29,52,1,33,22,27.5,2,0,2,2,0,0,0,0
國際單親兒童文教基金會,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
台灣大學工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣同志家庭權益促進會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣國際家庭互助協會,4,3,7,1,57,57,10,54,1,69,37,53,2,2,2,0,1,0,1,0
台灣媒體觀察教育基金會,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
關懷生命協會,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
台灣基督長老教會,1,6,5,4,53,50,60,52,1,69,33,51,2,1,2,1,0,0,1,0
台灣新聞記者協會,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
台灣教授協會,1,6,5,4,53,50,60,52,1,69,33,51,2,1,2,1,0,0,1,0
台灣基層護理產業工會,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
台灣生態學會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
同志諮詢熱線,3,4,5,6,12,55,60,53,1,69,19,44,2,2,2,0,0,1,1,0
醫師勞動條件改革小組,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
愛滋感染者權益促進會,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
台灣移工聯盟,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
台灣鐵路工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣青年智庫,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
青平台基金會,1,6,1,4,53,50,29,52,1,33,19,26,2,1,2,1,0,1,0,0
台灣醫社,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
法律扶助基金會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
台灣原住民族部落行動聯盟,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台灣農村陣線,4,3,7,1,57,57,10,54,1,69,37,53,2,2,2,0,1,0,1,0
陳文成基金會,1,6,1,4,53,50,29,52,1,33,22,27.5,2,0,2,2,0,0,0,0
台灣蠻野心足生態協會,1,6,7,4,53,50,10,52,1,69,33,46.333,3,2,3,1,1,0,1,0
媒體改造學社,1,4,5,6,53,55,60,53,1,69,22,45.5,2,1,2,1,0,0,1,0
新竹地區保全業產業工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
傳播學生鬥陣,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
台灣婦女團體全國聯合會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
廢除死刑推動聯盟,1,6,5,4,53,50,60,52,1,69,22,41.333,3,1,3,2,0,0,1,0
高雄市社區大學促進會,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
非典型勞動工作坊,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
天主教會新竹教區越南外勞配偶辦公室,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
捍衛農鄉聯盟,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
婦女新知基金會,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
勞動人權協會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
桃園在地聯盟,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
桃園縣教育產業工會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
台灣環境資訊協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
消防員工作權益促進會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
綠色公民行動聯盟,1,6,7,4,53,50,10,52,1,69,33,46.333,3,2,3,1,1,0,1,0
行南文化協會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
高雄市教育產業工會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
綠色主張工作室,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
反大學法人化陣線,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
陳家自救會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
綠色消費者基金會,1,6,5,4,53,50,60,52,1,69,33,51,2,1,2,1,0,0,1,0
大學學生權利調查評鑑小組,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
光合教育工作室,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
華光社區訪調小組,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
菲律賓歸僑關懷連線,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
鄭南榕基金會,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
地球公民基金會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
黑手那卡西,4,3,7,1,57,57,10,54,1,69,37,53,2,2,2,0,1,0,1,0
貓頭鷹親子教育基金會,1,6,1,4,53,50,29,52,1,33,33,33,1,0,1,1,0,0,0,0
李江却台語文教基金會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新海瓦斯工會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
宜蘭人文基金會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
宜蘭縣崗給原住民永續發展協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
機場捷運A7站自救會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
中華民國視覺藝術協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
非核家園大聯盟,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
柳河文化工作室,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
荒野保護協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
OURs專業者都市改革組織,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市三重社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市板橋社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市林口社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市淡水社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市新店崇光社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市新莊社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市萬金石海洋社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市樹林社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
新北市蘆荻社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
瘋綠電聯盟,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
綠黨,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台北市北投社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
台北市永和社區大學,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
勵馨基金會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
藍色東港溪保育協會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
蘭嶼青年行動聯盟,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
鹽寮反核自救會,2,4,5,6,51,55,60,53,1,69,69,69,1,1,1,0,0,0,1,0
團結工聯,4,4,2,1,57,59,27,54,2,37,30,33.5,2,2,2,0,2,0,0,0
台灣學生促進中國民主化促進會,1,7,1,4,53,52,29,52,2,9,9,9,1,1,1,1,0,0,0,0
人本教育基金會,1,7,5,4,53,52,60,52,2,69,22,41.333,3,1,3,2,0,0,1,0
台灣同志遊行聯盟,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
在台藏人福利協會,1,7,11,4,53,52,3,52,2,5,5,5,1,1,1,1,0,0,0,0
人民火大行動聯盟,4,4,7,1,57,59,10,54,2,69,30,45.333,3,3,3,0,2,0,1,0
千障權益行動聯盟,5,1,13,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
人人保釣大聯盟,6,2,14,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0
901反媒體壟斷聯盟,1,7,1,4,53,52,29,52,2,22,22,22,1,0,1,1,0,0,0,0
公民監督國會聯盟,1,7,5,4,53,52,60,52,2,69,13,34.25,4,1,4,2,0,0,1,0
反教育商品化聯盟,4,4,2,1,57,59,27,54,2,37,4,23.667,3,2,3,0,3,0,0,0
台灣團結聯盟,2,3,5,6,53,47,60,55,2,69,5,26.333,3,1,3,2,0,0,1,0
台灣都市更新受害者聯盟,4,4,2,1,57,59,27,54,2,37,5,21,2,1,2,0,1,0,0,1
民主進步黨,2,4,3,6,53,59,3,55,2,5,5,5,1,0,1,0,0,0,0,0
法輪功,2,7,4,4,53,52,3,52,2,5,5,5,2,0,2,2,0,0,0,0
卡地布部落議會,1,3,10,6,53,47,2,55,2,3,3,3,1,0,1,0,0,0,0,1
華隆工會,4,4,3,1,57,59,3,54,2,6,4,5,3,0,3,0,2,0,0,0
新高市產業總工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
華人民主書院,1,7,1,4,53,52,29,52,2,33,9,20.333,3,2,3,2,0,1,0,0
日日春關懷互助協會,4,4,2,5,57,59,27,14,2,37,19,28,2,2,2,0,1,1,0,0
西藏青年會台灣分會,1,7,11,4,53,52,3,52,2,5,5,5,1,1,1,1,0,0,0,0
三鶯部落自救會,4,4,2,1,57,59,27,54,2,37,37,37,1,1,1,0,1,0,0,0
水患治理監督聯盟,2,5,8,6,53,6,6,55,2,13,13,13,1,0,1,0,0,0,0,0
台灣高等教育產業工會,4,4,2,1,57,59,27,54,2,37,4,23.667,3,2,3,0,3,0,0,0
台灣投資中國受害者協會,1,7,1,4,53,52,29,52,2,33,5,19,2,0,2,2,0,0,0,0
反迫遷連線,2,7,5,4,53,52,60,52,2,5,5,5,1,0,1,0,0,0,0,1
非核家園大聯盟,2,3,5,6,53,47,60,55,2,69,5,37,2,1,2,0,0,0,1,0
卡地布青年會,1,3,10,6,53,47,2,55,2,3,3,3,1,0,1,0,0,0,0,1
勞動黨,4,4,12,1,57,59,3,54,2,6,6,6,1,0,1,0,1,0,0,0
台南市產業總工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
台灣關懷中國人權聯盟,1,7,1,4,53,52,29,52,2,33,9,21,2,1,2,2,0,0,0,0
人權公約施行監督聯盟,2,3,5,6,53,47,60,55,2,69,5,37,2,1,2,0,0,0,1,1
台灣人權促進會,1,7,5,4,53,52,60,52,2,69,5,26.167,6,3,6,3,0,1,1,1
西藏婦女會台灣分會,1,7,11,4,53,52,3,52,2,5,5,5,1,1,1,1,0,0,0,0
工作傷害受害人協會,4,4,7,1,57,59,10,54,2,69,30,45.333,3,3,3,0,2,0,1,0
公民參與媒體改造聯盟,1,7,1,4,53,52,29,52,2,22,22,22,1,0,1,1,0,0,0,0
主婦聯盟生活消費合作社,2,3,5,6,53,47,60,55,2,69,13,41,2,1,2,0,0,0,1,0
全國教師工會總聯合會,4,4,7,1,57,59,10,54,2,69,4,36.667,3,2,3,0,2,0,1,0
全國金融業服務業產業工會,2,4,3,6,53,59,3,55,2,5,5,5,1,0,1,0,0,0,0,0
台灣南社,1,7,1,4,53,52,29,52,2,33,5,14.333,3,0,3,3,0,0,0,0
環境法律人協會,1,3,5,6,53,47,60,55,2,69,3,31.333,3,1,3,1,0,0,1,1
苗栗後生會,4,4,12,1,57,59,3,54,2,6,6,6,1,0,1,0,1,0,0,0
主婦聯盟環境保護基金會,1,7,5,4,53,52,60,52,2,69,13,38.333,3,1,3,1,0,0,1,0
苗栗縣產業總工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
台灣女性學學會,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
台灣圖博之友會,1,7,5,4,53,52,60,52,2,69,5,29,4,3,4,3,0,0,1,0
中央大學性／別研究室,4,4,2,5,57,59,27,14,2,37,19,28,2,2,2,0,1,1,0,0
民間司法改革基金會,1,7,5,4,53,52,60,52,2,69,5,32.25,4,1,4,2,0,0,1,1
台灣基督長老教會,1,7,5,4,53,52,60,52,2,69,5,35.667,3,1,3,1,0,0,1,0
台灣農努聯盟,2,7,4,4,53,52,3,52,2,5,5,5,1,0,1,1,0,0,0,0
台灣國際勞工協會,4,4,7,1,57,59,10,54,2,69,6,35.5,4,3,4,0,3,0,1,0
新竹縣產業總工會,4,4,2,1,57,59,27,54,2,37,30,33.5,2,2,2,0,2,0,0,0
台灣青年反共救國團,1,7,1,4,53,52,29,52,2,22,5,12,3,1,3,3,0,0,0,0
中華進步利用協會,2,3,5,6,53,47,60,55,2,69,69,69,1,1,1,0,0,0,1,0
台灣伴侶權益推動聯盟,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
台灣自由圖博學生聯盟,1,7,1,4,53,52,29,52,2,22,5,12,3,2,3,3,0,0,0,0
公義生態社會聯盟,1,7,1,4,53,52,29,52,2,22,22,22,1,0,1,1,0,0,0,0
台北市文山社區大學,2,3,5,6,53,47,60,55,2,69,13,41,2,1,2,0,0,0,1,0
908台灣國總部,2,7,4,4,53,52,3,52,2,5,5,5,1,0,1,1,0,0,0,0
台灣電子電機資訊產業工會,4,4,6,1,57,59,18,54,2,30,6,18,2,1,2,0,2,0,0,0
台灣小留學生家長協進會,1,7,5,4,53,52,60,52,2,69,33,51,2,1,2,1,0,0,1,0
桃園縣產業總工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
台灣和平草根聯盟,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
反媒體巨獸青年聯盟,1,7,1,4,53,52,29,52,2,22,22,22,1,0,1,1,0,0,0,0
台灣青年反美牛聯盟,2,5,8,6,53,6,6,55,2,13,13,13,1,0,1,0,0,0,0,0
工人國際委員會,4,4,12,1,57,59,3,54,2,6,6,6,1,0,1,0,1,0,0,0
台灣北社,1,7,5,4,53,52,60,52,2,69,33,51,2,1,2,1,0,0,1,0
台北市產業總工會,4,4,2,1,57,59,27,54,2,37,30,33.5,2,2,2,0,2,0,0,0
國際特赦組織台灣分會,1,7,5,4,53,52,60,52,2,69,9,30.4,5,3,5,3,0,1,1,0
天主教嘉祿國際移民組織台灣分會,2,3,5,6,53,47,60,55,2,69,69,69,1,1,1,0,0,0,1,0
台灣性別人權協會,4,4,2,5,57,59,27,14,2,37,19,28,2,2,2,0,1,1,0,0
世新大學社會發展所,4,4,2,1,57,59,27,54,2,37,37,37,1,1,1,0,1,0,0,0
台灣環境保護聯盟,2,3,5,6,53,47,60,55,2,69,13,41,2,1,2,0,0,0,1,0
台灣母語聯盟,1,7,1,4,53,52,29,52,2,33,33,33,1,0,1,1,0,0,0,0
宜蘭縣產業總工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
公共知識份子雜誌社,1,7,1,4,53,52,29,52,2,9,9,9,1,1,1,1,0,0,0,0
台灣性別平等教育協會,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
台灣少年權益與福利促進聯盟,1,7,1,4,53,52,29,52,2,22,22,22,1,0,1,1,0,0,0,0
全球綠人台灣之友會,2,5,8,6,53,6,6,55,2,13,13,13,1,0,1,0,0,0,0,0
台灣民間真相與和解促進會,1,7,1,4,53,52,29,52,2,33,33,33,1,0,1,1,0,0,0,0
中華電信工會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
台北律師公會環境法委員會,2,3,5,6,53,47,60,55,2,69,69,69,1,1,1,0,0,0,1,0
台灣紅絲帶基金會,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
台灣守護民主平台,1,7,1,4,53,52,29,52,2,33,22,27.5,2,0,2,2,0,0,0,0
社區大學全國促進會,1,3,5,6,53,47,60,55,2,69,13,34.667,3,1,3,1,0,0,1,0
台塑關係企業工會聯合會,4,4,6,1,57,59,18,54,2,30,30,30,1,1,1,0,1,0,0,0
台灣二十一世紀議程協會,2,3,5,6,53,47,60,55,2,69,69,69,1,1,1,0,0,0,1,0
台灣關愛之家協會,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
台灣社會研究季刊社,4,4,2,1,57,59,27,54,2,37,37,37,1,1,1,0,1,0,0,0
看守台灣協會,1,7,5,4,53,52,60,52,2,69,13,38.333,3,1,3,1,0,0,1,0
全國自主勞工聯盟,4,4,7,1,57,59,10,54,2,69,30,45.333,3,3,3,0,2,0,1,0
同光同志長老教會,3,6,9,5,12,11,11,14,2,19,19,19,1,1,1,0,0,1,0,0
